#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,i3-gaps,"is the main graphical user interface and window manager."
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,ttf-inconsolata,"is the monospace font of LARBS."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,ranger,"is an extensive terminal file manager that everyone likes."
,vifm,"is an extensive terminal file manager that everyone likes."
,arandr,"is a UI for screen adjustment."
,calcurse,"is a lightweight terminal-based calendar."
,compton,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,i3blocks,"is the status bar."
,i3lock,"is the screen lock."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video/gif player."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,networkmanager,"does exactly what it sounds like."
,newsboat,"is a terminal RSS client."
,firefox,"is the only program on LARBS your girlfriend has ever heard of."
A,ttf-emojione,"is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere."
A,ttf-symbola,"provides unicode and emoji symbols."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio,"is the audio system (>inb4 bloat)."
,pulseaudio-alsa,"is an audio interface with ALSA."
,pulsemixer,"is an intuitive ncurses audio controller."
,imagemagick,"is a terminal image-manipulator providing some convenient shortcuts and the lockscreen in LARBS."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
A,htop-vim-git,"provides system usage information and displays processes."
,maim,"can take quick screenshots at your request."
,socat,"is a socket utility."
,tmux,"is a terminal multiplexer and the dropdown window in LARBS."
A,unclutter-xfixes-git,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
A,urlscan,"parses URLs in the terminal allowing keyboard-based selection."
,w3m,"is a terminal browser which can also view images."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,xssstate,"times out the screen if locked."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-djvu,"gives zathura the ability to read .djvu files."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used by vifm as well."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/lukesmithxyz/st.git,"is my custom build of suckless's terminal emulator."
,adobe-source-code-pro-fonts,""
,adobe-source-sans-pro-fonts,""
,adobe-source-serif-pro-fonts,""
,aspell-en,""
,aspell-el,""
,b43-fwcutter,"broadcom wireless"
,broadcom-wl-dkms,"broadcom wireless"
,blueman,"GTK+ Bluetooth Manager"
,clipit,"Clipboard Manager"
,ctags,"programming util"
,docker,"Containers"
,docker-compose,""
,docker-machine,""
,bzip2,"Compression util"
,dropbox,""
,emacs,"OS hiding under a text editor"
,fasd,"Cmd line productivity booster, offers quick access to files and directories"
,filezilla,"FTP, FTPS and SFTP client"
,git-secret,"A bash-tool to store your private data inside a git repository"
,git-secrets,"Prevents you from committing secrets and credentials into git repositories"
,gitkraken,"Graphical git"
,google-chrome,"well... i am a developer"
,gvim,"can't live without"
,lxappearance,"Feature-rich GTK+ theme switcher of the LXDE Desktop"
,mariadb-clients,"Clients for mysql/mariadb databases"
,mosh,"better than ssh"
,mysql-workbench,"Graphical mysql, official"
,nerd-fonts-source-code-pro,""
,net-tools,""
,networkmanager-openvpn,"NetworkManager VPN plugin for OpenVPN"
,nextcloud-client,"Dropbox self-hosted alternative client only"
,nfs-utils,"mount nfs shares"
,nodejs,""
,npm,""
,openssh,""
,otf-font-awesome,""
,pandoc,"Conversion between markup formats"
,playerctl,"mpris media player controller and lib for spotify, vlc, audacious, bmp, xmms2, and others."
,pygmentize,"Python syntax highlighter"
,python-pywal,"Generate and change colorschemes on the fly"
,python-virtualenvwrapper,""
,spotify,""
,the_silver_searcher,"search wizard"
,tigervnc,""
,vagrant,""
,virtualbox,""
,virtualbox-guest-iso,""
,vlc,""
,vmware-workstation,""
,zsh,""
,oh-my-zsh-git,"makes zsh functional"
,zsh-completions,""
,zsh-history-substring-search,""
,zsh-syntax-highlighting,""
,otf-san-francisco,"The system font for macOS, iOS, watchOS, and tvOS"
